periodo,localizacao,numero_transacoes,ano,trimestre_num,periodo_ordem,data_trimestre
3.º Trimestre de 2021,20: Região Autónoma dos Açores,85609.0,2021,3,20213,2021-Q3
3.º Trimestre de 2021,3: Região Autónoma da Madeira,142917.0,2021,3,20213,2021-Q3
3.º Trimestre de 2021,30: Região Autónoma da Madeira,142917.0,2021,3,20213,2021-Q3
2.º Trimestre de 2021,PT: Portugal,6933006.0,2021,2,20212,2021-Q2
2.º Trimestre de 2021,1: Continente,6690510.0,2021,2,20212,2021-Q2
2.º Trimestre de 2021,11: Norte,1634272.0,2021,2,20212,2021-Q2
2.º Trimestre de 2021,19: Centro,578825.0,2021,2,20212,2021-Q2
2.º Trimestre de 2021,1D: Oeste e Vale do Tejo,436334.0,2021,2,20212,2021-Q2
2.º Trimestre de 2021,1A: Grande Lisboa,2305020.0,2021,2,20212,2021-Q2
2.º Trimestre de 2021,1B: Península de Setúbal,706728.0,2021,2,20212,2021-Q2
2.º Trimestre de 2021,1C: Alentejo,202551.0,2021,2,20212,2021-Q2
2.º Trimestre de 2021,15: Algarve,826780.0,2021,2,20212,2021-Q2
2.º Trimestre de 2021,2: Região Autónoma dos Açores,78564.0,2021,2,20212,2021-Q2
2.º Trimestre de 2021,20: Região Autónoma dos Açores,78564.0,2021,2,20212,2021-Q2
2.º Trimestre de 2021,3: Região Autónoma da Madeira,163932.0,2021,2,20212,2021-Q2
2.º Trimestre de 2021,30: Região Autónoma da Madeira,163932.0,2021,2,20212,2021-Q2
1.º Trimestre de 2021,PT: Portugal,5595240.0,2021,1,20211,2021-Q1
1.º Trimestre de 2021,1: Continente,5415541.0,2021,1,20211,2021-Q1
1.º Trimestre de 2021,11: Norte,1410222.0,2021,1,20211,2021-Q1
1.º Trimestre de 2021,19: Centro,471348.0,2021,1,20211,2021-Q1
1.º Trimestre de 2021,1D: Oeste e Vale do Tejo,347134.0,2021,1,20211,2021-Q1
1.º Trimestre de 2021,1A: Grande Lisboa,1842804.0,2021,1,20211,2021-Q1
1.º Trimestre de 2021,1B: Península de Setúbal,577349.0,2021,1,20211,2021-Q1
1.º Trimestre de 2021,1C: Alentejo,156379.0,2021,1,20211,2021-Q1
1.º Trimestre de 2021,15: Algarve,610304.0,2021,1,20211,2021-Q1
1.º Trimestre de 2021,2: Região Autónoma dos Açores,57361.0,2021,1,20211,2021-Q1
1.º Trimestre de 2021,20: Região Autónoma dos Açores,57361.0,2021,1,20211,2021-Q1
1.º Trimestre de 2021,3: Região Autónoma da Madeira,122338.0,2021,1,20211,2021-Q1
1.º Trimestre de 2021,30: Região Autónoma da Madeira,122338.0,2021,1,20211,2021-Q1
4.º Trimestre de 2020,PT: Portugal,6098441.0,2020,4,20204,2020-Q4
4.º Trimestre de 2020,1: Continente,5917302.0,2020,4,20204,2020-Q4
4.º Trimestre de 2020,11: Norte,1522354.0,2020,4,20204,2020-Q4
4.º Trimestre de 2020,19: Centro,533877.0,2020,4,20204,2020-Q4
4.º Trimestre de 2020,1D: Oeste e Vale do Tejo,397367.0,2020,4,20204,2020-Q4
4.º Trimestre de 2020,1A: Grande Lisboa,1924777.0,2020,4,20204,2020-Q4
4.º Trimestre de 2020,1B: Península de Setúbal,635952.0,2020,4,20204,2020-Q4
4.º Trimestre de 2020,1C: Alentejo,183244.0,2020,4,20204,2020-Q4
4.º Trimestre de 2020,15: Algarve,719731.0,2020,4,20204,2020-Q4
4.º Trimestre de 2020,2: Região Autónoma dos Açores,65370.0,2020,4,20204,2020-Q4
4.º Trimestre de 2020,20: Região Autónoma dos Açores,65370.0,2020,4,20204,2020-Q4
4.º Trimestre de 2020,3: Região Autónoma da Madeira,115769.0,2020,4,20204,2020-Q4
4.º Trimestre de 2020,30: Região Autónoma da Madeira,115769.0,2020,4,20204,2020-Q4
3.º Trimestre de 2020,PT: Portugal,5427603.0,2020,3,20203,2020-Q3
3.º Trimestre de 2020,1: Continente,5255431.0,2020,3,20203,2020-Q3
3.º Trimestre de 2020,11: Norte,1354648.0,2020,3,20203,2020-Q3
3.º Trimestre de 2020,19: Centro,520460.0,2020,3,20203,2020-Q3
3.º Trimestre de 2020,1D: Oeste e Vale do Tejo,340138.0,2020,3,20203,2020-Q3
3.º Trimestre de 2020,1A: Grande Lisboa,1680690.0,2020,3,20203,2020-Q3
3.º Trimestre de 2020,1B: Península de Setúbal,541066.0,2020,3,20203,2020-Q3
3.º Trimestre de 2020,1C: Alentejo,166934.0,2020,3,20203,2020-Q3
3.º Trimestre de 2020,15: Algarve,651496.0,2020,3,20203,2020-Q3
3.º Trimestre de 2020,2: Região Autónoma dos Açores,61424.0,2020,3,20203,2020-Q3
3.º Trimestre de 2020,20: Região Autónoma dos Açores,61424.0,2020,3,20203,2020-Q3
3.º Trimestre de 2020,3: Região Autónoma da Madeira,110747.0,2020,3,20203,2020-Q3
3.º Trimestre de 2020,30: Região Autónoma da Madeira,110747.0,2020,3,20203,2020-Q3
2.º Trimestre de 2020,PT: Portugal,4125502.0,2020,2,20202,2020-Q2
2.º Trimestre de 2020,1: Continente,4010621.0,2020,2,20202,2020-Q2
2.º Trimestre de 2020,11: Norte,1051789.0,2020,2,20202,2020-Q2
2.º Trimestre de 2020,19: Centro,381889.0,2020,2,20202,2020-Q2
2.º Trimestre de 2020,1D: Oeste e Vale do Tejo,235739.0,2020,2,20202,2020-Q2
2.º Trimestre de 2020,1A: Grande Lisboa,1401673.0,2020,2,20202,2020-Q2
2.º Trimestre de 2020,1B: Península de Setúbal,408081.0,2020,2,20202,2020-Q2
2.º Trimestre de 2020,1C: Alentejo,118806.0,2020,2,20202,2020-Q2
2.º Trimestre de 2020,15: Algarve,412644.0,2020,2,20202,2020-Q2
2.º Trimestre de 2020,2: Região Autónoma dos Açores,49832.0,2020,2,20202,2020-Q2
2.º Trimestre de 2020,20: Região Autónoma dos Açores,49832.0,2020,2,20202,2020-Q2
2.º Trimestre de 2020,3: Região Autónoma da Madeira,65049.0,2020,2,20202,2020-Q2
2.º Trimestre de 2020,30: Região Autónoma da Madeira,65049.0,2020,2,20202,2020-Q2
1.º Trimestre de 2020,PT: Portugal,5785538.0,2020,1,20201,2020-Q1
1.º Trimestre de 2020,1: Continente,5590338.0,2020,1,20201,2020-Q1
1.º Trimestre de 2020,11: Norte,1372712.0,2020,1,20201,2020-Q1
1.º Trimestre de 2020,19: Centro,450687.0,2020,1,20201,2020-Q1
1.º Trimestre de 2020,1D: Oeste e Vale do Tejo,313102.0,2020,1,20201,2020-Q1
