
Quadro extraído em 25 de Maio de 2026 (15:21:40)
http://www.ine.pt



Período de referência dos dados;Localização geográfica (NUTS - 2024);Transações (?) de alojamentos familiares por Localização geográfica (NUTS - 2024), Categoria do alojamento familiar, Domicílio fiscal do comprador e Setor institucional do comprador -  Trimestral;
;;Categoria do alojamento familiar;
;;Total;
;;Domicílio fiscal do comprador;
;;Total;
;;Setor institucional do comprador;
;;Total;
;;? (milhares);
;1B: Península de Setúbal;222699;
;1C: Alentejo;84671;
;15: Algarve;463655;
;2: Região Autónoma dos Açores;34767;
;20: Região Autónoma dos Açores;34767;
;3: Região Autónoma da Madeira;57293;
;30: Região Autónoma da Madeira;57293;
1.º Trimestre de 2016;PT: Portugal;3001077;
;1: Continente;2881361;
;11: Norte;696618;
;19: Centro;244888;
;1D: Oeste e Vale do Tejo;143303;
;1A: Grande Lisboa;1099125;
;1B: Península de Setúbal;221878;
;1C: Alentejo;68376;
;15: Algarve;407173;
;2: Região Autónoma dos Açores;32783;
;20: Região Autónoma dos Açores;32783;
;3: Região Autónoma da Madeira;86933;
;30: Região Autónoma da Madeira;86933;
4.º Trimestre de 2015;PT: Portugal;3071762;
;1: Continente;2971331;
;11: Norte;697239;
;19: Centro;253730;
;1D: Oeste e Vale do Tejo;165375;
;1A: Grande Lisboa;1134738;
;1B: Península de Setúbal;214269;
;1C: Alentejo;72633;
;15: Algarve;433348;
;2: Região Autónoma dos Açores;37591;
;20: Região Autónoma dos Açores;37591;
;3: Região Autónoma da Madeira;62839;
;30: Região Autónoma da Madeira;62839;
3.º Trimestre de 2015;PT: Portugal;2697752;
;1: Continente;2622091;
;11: Norte;612134;
;19: Centro;238782;
;1D: Oeste e Vale do Tejo;137122;
;1A: Grande Lisboa;991041;
;1B: Península de Setúbal;181934;
;1C: Alentejo;69002;
;15: Algarve;392075;
;2: Região Autónoma dos Açores;26697;
;20: Região Autónoma dos Açores;26697;
;3: Região Autónoma da Madeira;48964;
;30: Região Autónoma da Madeira;48964;
2.º Trimestre de 2015;PT: Portugal;2509888;
;1: Continente;2445576;
;11: Norte;580147;
;19: Centro;210883;
;1D: Oeste e Vale do Tejo;135456;
;1A: Grande Lisboa;930656;
;1B: Península de Setúbal;166330;
;1C: Alentejo;56954;
;15: Algarve;365150;
;2: Região Autónoma dos Açores;20851;
;20: Região Autónoma dos Açores;20851;
;3: Região Autónoma da Madeira;43461;
;30: Região Autónoma da Madeira;43461;
1.º Trimestre de 2015;PT: Portugal;2662680;
;1: Continente;2515201;
;11: Norte;580128;
;19: Centro;219135;
;1D: Oeste e Vale do Tejo;139532;
;1A: Grande Lisboa;966424;
;1B: Península de Setúbal;173762;
;1C: Alentejo;60629;
;15: Algarve;375590;
;2: Região Autónoma dos Açores;24638;
;20: Região Autónoma dos Açores;24638;
;3: Região Autónoma da Madeira;122841;
;30: Região Autónoma da Madeira;122841;
4.º Trimestre de 2014;PT: Portugal;2490239;
;1: Continente;2407285;
;11: Norte;550206;
;19: Centro;212445;
;1D: Oeste e Vale do Tejo;135230;
;1A: Grande Lisboa;947173;
;1B: Península de Setúbal;157932;
;1C: Alentejo;59070;
;15: Algarve;345229;
;2: Região Autónoma dos Açores;33896;
;20: Região Autónoma dos Açores;33896;
;3: Região Autónoma da Madeira;49059;
;30: Região Autónoma da Madeira;49059;
3.º Trimestre de 2014;PT: Portugal;1979674;
;1: Continente;1914119;
;11: Norte;438081;
;19: Centro;171099;
;1D: Oeste e Vale do Tejo;115008;
;1A: Grande Lisboa;740842;
;1B: Península de Setúbal;116121;
;1C: Alentejo;45143;
;15: Algarve;287824;
;2: Região Autónoma dos Açores;20249;
;20: Região Autónoma dos Açores;20249;
;3: Região Autónoma da Madeira;45306;
;30: Região Autónoma da Madeira;45306;
2.º Trimestre de 2014;PT: Portugal;2003321;
;1: Continente;1943650;
;11: Norte;443499;
;19: Centro;169185;
;1D: Oeste e Vale do Tejo;119480;
;1A: Grande Lisboa;735814;
;1B: Península de Setúbal;135487;
;1C: Alentejo;45462;
;15: Algarve;294723;
;2: Região Autónoma dos Açores;19366;
;20: Região Autónoma dos Açores;19366;
;3: Região Autónoma da Madeira;40305;
;30: Região Autónoma da Madeira;40305;
1.º Trimestre de 2014;PT: Portugal;1825411;
;1: Continente;1762219;
;11: Norte;400249;
;19: Centro;147627;
;1D: Oeste e Vale do Tejo;94430;
;1A: Grande Lisboa;681275;
;1B: Península de Setúbal;120875;
;1C: Alentejo;48447;
;15: Algarve;269316;
;2: Região Autónoma dos Açores;18740;
;20: Região Autónoma dos Açores;18740;
;3: Região Autónoma da Madeira;44451;
;30: Região Autónoma da Madeira;44451;
4.º Trimestre de 2013;PT: Portugal;2349202;
;1: Continente;2269327;
;11: Norte;522349;
;19: Centro;208111;
;1D: Oeste e Vale do Tejo;156123;
;1A: Grande Lisboa;787781;
;1B: Península de Setúbal;178291;
;1C: Alentejo;59206;
;15: Algarve;357466;
;2: Região Autónoma dos Açores;30325;
;20: Região Autónoma dos Açores;30325;
;3: Região Autónoma da Madeira;49550;
;30: Região Autónoma da Madeira;49550;
3.º Trimestre de 2013;PT: Portugal;1824085;
;1: Continente;1762521;
;11: Norte;438248;
;19: Centro;159852;
;1D: Oeste e Vale do Tejo;100221;
;1A: Grande Lisboa;644883;
;1B: Península de Setúbal;128244;
;1C: Alentejo;39708;
;15: Algarve;251365;
;2: Região Autónoma dos Açores;19952;
;20: Região Autónoma dos Açores;19952;
;3: Região Autónoma da Madeira;41612;
;30: Região Autónoma da Madeira;41612;
2.º Trimestre de 2013;PT: Portugal;1667407;
;1: Continente;1609859;
;11: Norte;401526;
;19: Centro;173155;
;1D: Oeste e Vale do Tejo;97813;
;1A: Grande Lisboa;570432;
;1B: Península de Setúbal;123286;
;1C: Alentejo;39251;
;15: Algarve;204396;
;2: Região Autónoma dos Açores;17238;
;20: Região Autónoma dos Açores;17238;
;3: Região Autónoma da Madeira;40309;
;30: Região Autónoma da Madeira;40309;
1.º Trimestre de 2013;PT: Portugal;1351974;
;1: Continente;1279518;
;11: Norte;344108;
;19: Centro;158998;
;1D: Oeste e Vale do Tejo;80368;
;1A: Grande Lisboa;398804;
;1B: Península de Setúbal;100571;
;1C: Alentejo;33169;
;15: Algarve;163500;
;2: Região Autónoma dos Açores;15997;
;20: Região Autónoma dos Açores;15997;
;3: Região Autónoma da Madeira;56459;
;30: Região Autónoma da Madeira;56459;
4.º Trimestre de 2012;PT: Portugal;1760000;
;1: Continente;1650408;
;11: Norte;431082;
;19: Centro;178851;
;1D: Oeste e Vale do Tejo;115577;
;1A: Grande Lisboa;522501;
;1B: Península de Setúbal;138828;
;1C: Alentejo;41205;
;15: Algarve;222364;
;2: Região Autónoma dos Açores;38666;
;20: Região Autónoma dos Açores;38666;
;3: Região Autónoma da Madeira;70927;
;30: Região Autónoma da Madeira;70927;
3.º Trimestre de 2012;PT: Portugal;1527642;
;1: Continente;1461926;
;11: Norte;425734;
;19: Centro;170890;
;1D: Oeste e Vale do Tejo;98413;
;1A: Grande Lisboa;409222;
;1B: Península de Setúbal;109055;
;1C: Alentejo;40747;
;15: Algarve;207866;
;2: Região Autónoma dos Açores;15466;
;20: Região Autónoma dos Açores;15466;
;3: Região Autónoma da Madeira;50250;
;30: Região Autónoma da Madeira;50250;
2.º Trimestre de 2012;PT: Portugal;1673516;
;1: Continente;1620327;
;11: Norte;448514;
;19: Centro;167754;
;1D: Oeste e Vale do Tejo;115395;
;1A: Grande Lisboa;504342;
;1B: Península de Setúbal;120786;
;1C: Alentejo;50892;
;15: Algarve;212643;
;2: Região Autónoma dos Açores;13420;
;20: Região Autónoma dos Açores;13420;
;3: Região Autónoma da Madeira;39769;
;30: Região Autónoma da Madeira;39769;
1.º Trimestre de 2012;PT: Portugal;1659303;
;1: Continente;1581469;
;11: Norte;467896;
;19: Centro;165518;
;1D: Oeste e Vale do Tejo;115227;
;1A: Grande Lisboa;474174;
;1B: Península de Setúbal;108644;
;1C: Alentejo;39062;
;15: Algarve;210948;
;2: Região Autónoma dos Açores;19187;
;20: Região Autónoma dos Açores;19187;
